Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,AFO-9,AFO-10,AFO-11,AFO-12,AFO-13,AFO-14,AFO-15,AFO-16,AFO-25,AFO-26,AFO-27,AFO-28,AFO-29,AFO-30,AFO-31,AFO-32,AFO-49,AFO-50,AFO-51,AFO-52,AFO-53,AFO-54,AFO-55,AFO-56,AFO-73,AFO-74,AFO-75,AFO-76,AFO-77,AFO-78,AFO-79,AFO-80,Indistinguishable Proteins
P47104|TX=559292,P47104,"P47104|TX=559292 OS=Yeast S288c GN=RAV1 TA=NM_001181691.3,YJR033C_mRNA PA=NP_012567.3,P47104,YJR033C_mRNA",RAV1,1357,OS=Yeast,1,0.999,2,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,
P47108|TX=559292,P47108,"P47108|TX=559292 OS=Yeast S288c GN=URB2 TA=NM_001181699.3,YJR041C_mRNA PA=NP_012575.3,YJR041C_mRNA,P47108",URB2,1174,OS=Yeast,1,0.9988,4,11,11,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,1,0,0,
P47112|TX=559292,P47112,"P47112|TX=559292 OS=Yeast S288c GN=TAH11 TA=YJR046W_mRNA,NM_001181704.1 PA=P47112,YJR046W_mRNA,NP_012580.1",TAH11,604,OS=Yeast,1,0.998,4,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,
P47117|TX=559292,P47117,"P47117|TX=559292 OS=Yeast S288c GN=ARP3 TA=NM_001181723.3,YJR065C_mRNA PA=NP_012599.3,P47117,YJR065C_mRNA",ARP3,449,OS=Yeast,1,0.9985,2,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,
P47120|TX=559292,P47120,"P47120|TX=559292 OS=Yeast S288c GN=LIA1 TA=NM_001181728.1,YJR070C_mRNA PA=YJR070C_mRNA,NP_012604.1,P47120",LIA1,325,OS=Yeast,1,0.9987,7,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,
P47122|TX=559292,P47122,"P47122|TX=559292 OS=Yeast S288c GN=NPA3 TA=NM_001181730.3,YJR072C_mRNA PA=NP_012606.3,YJR072C_mRNA,P47122",NPA3,385,OS=Yeast,1,0.999,11,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,17,0,0,
P47124|TX=559292,P47124,"P47124|TX=559292 OS=Yeast S288c GN=HOC1,YJR075W TA=YJR075W_mRNA,NM_001181733.3 PA=NP_012609.3,YJR075W_mRNA,P47124","HOC1,YJR075W",396,OS=Yeast,1,0.998,4,9,9,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,
P47127|TX=559292,P47127,"P47127|TX=559292 OS=Yeast S288c GN=AIM24 TA=YJR080C_mRNA,NM_001181738.1 PA=YJR080C_mRNA,NP_012614.1,P47127",AIM24,394,OS=Yeast,1,0.9985,4,7,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,
P47135|TX=559292,P47135,"P47135|TX=559292 OS=Yeast S288c GN=JSN1 TA=YJR091C_mRNA,NM_001181748.1 PA=NP_012624.1,YJR091C_mRNA,P47135",JSN1,1091,OS=Yeast,1,0.999,4,15,15,15,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,5,3,0,0,0,0,
P47137|TX=559292,P47137,"P47137|TX=559292 OS=Yeast S288c GN=YJR096W TA=YJR096W_mRNA,NM_001181754.1 PA=NP_012630.1,YJR096W_mRNA,P47137",YJR096W,282,OS=Yeast,1,0.9983,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
P47154|TX=559292,P47154,"P47154|TX=559292 OS=Yeast S288c GN=STE24 TA=YJR117W_mRNA,NM_001181775.1 PA=YJR117W_mRNA,P47154,NP_012651.1",STE24,453,OS=Yeast,1,0.999,7,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,
P47190|TX=559292,P47190,"P47190|TX=559292 OS=Yeast S288c GN=YOR321W,PMT3 TA=NM_001183741.1,YOR321W_mRNA PA=YOR321W_mRNA,NP_014966.1,P47190","YOR321W,PMT3",753,OS=Yeast,1,0.998,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,
P47818|TX=559292,P47818,"P47818|TX=559292 OS=Yeast S288c GN=CCC1,YLR220W TA=NM_001182107.1,YLR220W_mRNA PA=P47818,NP_013321.1,YLR220W_mRNA","CCC1,YLR220W",322,OS=Yeast,1,0.999,6,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,
P47912|TX=559292,P47912,"P47912|TX=559292 OS=Yeast S288c GN=YMR246W,FAA4 TA=YMR246W_mRNA,NM_001182754.1 PA=YMR246W_mRNA,NP_013974.1,P47912","YMR246W,FAA4",694,OS=Yeast,1,0.999,9,23,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,14,3,0,0,
P48164|TX=559292,P48164,"P48164|TX=559292 OS=Yeast S288c GN=RPS7B TA=NM_001182934.3,YNL096C_mRNA PA=P48164,NP_014303.3,YNL096C_mRNA",RPS7B,190,OS=Yeast,1,0.9989,7,20,6,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,8,
P48353|TX=559292,P48353,"P48353|TX=559292 OS=Yeast S288c GN=YMR161W,HLJ1 TA=NM_001182665.1,YMR161W_mRNA PA=P48353,YMR161W_mRNA,NP_013884.1","YMR161W,HLJ1",224,OS=Yeast,1,0.999,5,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
P48362|TX=559292,P48362,"P48362|TX=559292 OS=Yeast S288c GN=HGH1,YGR187C TA=NM_001181316.3,YGR187C_mRNA PA=NP_011703.3,YGR187C_mRNA,P48362","HGH1,YGR187C",394,OS=Yeast,1,0.999,5,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,
P48439|TX=559292,P48439,"P48439|TX=559292 OS=Yeast S288c GN=OST3,YOR085W TA=YOR085W_mRNA,NM_001183504.1 PA=YOR085W_mRNA,P48439,NP_014728.1","OST3,YOR085W",350,OS=Yeast,1,0.9989,5,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,
P48445|TX=559292,P48445,"P48445|TX=559292 OS=Yeast S288c GN=BPL1 TA=YDL141W_mRNA,NM_001180201.1 PA=YDL141W_mRNA,P48445,NP_010140.1",BPL1,690,OS=Yeast,1,0.999,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
P48563|TX=559292,P48563,"P48563|TX=559292 OS=Yeast S288c GN=MON2 TA=NM_001183135.1,YNL297C_mRNA PA=NP_014102.1,P48563,YNL297C_mRNA",MON2,1636,OS=Yeast,1,0.999,19,28,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,23,0,0,0,0,0,
P48813|TX=559292,P48813,"P48813|TX=559292 OS=Yeast S288c GN=YDR508C,GNP1 TA=YDR508C_mRNA,NM_001180816.1 PA=P48813,YDR508C_mRNA,NP_010796.1","YDR508C,GNP1",663,OS=Yeast,1,0.999,7,23,23,23,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,6,0,0,
P49090|TX=559292,P49090,"P49090|TX=559292 OS=Yeast S288c GN=ASN2,YGR124W TA=NM_001181253.1,YGR124W_mRNA PA=NP_011640.1,P49090,YGR124W_mRNA","ASN2,YGR124W",572,OS=Yeast,1,0.999,4,12,4,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,2,0,0,
P49367|TX=559292,P49367,"P49367|TX=559292 OS=Yeast S288c GN=LYS4 TA=NM_001180542.3,YDR234W_mRNA PA=P49367,YDR234W_mRNA,NP_010520.3",LYS4,693,OS=Yeast,1,0.999,5,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,
P49573|TX=559292,P49573,"P49573|TX=559292 OS=Yeast S288c GN=YPR124W,CTR1 TA=YPR124W_mRNA,NM_001184221.1 PA=NP_015449.1,YPR124W_mRNA,P49573","YPR124W,CTR1",406,OS=Yeast,1,0.999,2,7,7,7,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
P49687|TX=559292,P49687,"P49687|TX=559292 OS=Yeast S288c GN=NUP145 TA=NM_001180957.1,YGL092W_mRNA PA=P49687,YGL092W_mRNA,NP_011423.1",NUP145,1317,OS=Yeast,1,0.9989,6,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,
P50085|TX=559292,P50085,"P50085|TX=559292 OS=Yeast S288c GN=PHB2,YGR231C TA=YGR231C_mRNA,NM_001181360.1 PA=NP_011747.2,YGR231C_mRNA,P50085","PHB2,YGR231C",310,OS=Yeast,1,0.9982,5,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,
P50089|TX=559292,P50089,"P50089|TX=559292 OS=Yeast S288c GN=YGR237C TA=YGR237C_mRNA,NM_001181366.1 PA=YGR237C_mRNA,NP_011753.1,P50089",YGR237C,785,OS=Yeast,1,0.999,4,7,7,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,
P50095|TX=559292,P50095,"P50095|TX=559292 OS=Yeast S288c GN=YLR432W,IMD3 TA=NM_001182320.3,YLR432W_mRNA PA=P50095,NP_013536.3,YLR432W_mRNA","YLR432W,IMD3",523,OS=Yeast,1,0.9989,3,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
P50101|TX=559292,P50101,"P50101|TX=559292 OS=Yeast S288c GN=YMR304W,UBP15 TA=YMR304W_mRNA,NM_001182814.1 PA=YMR304W_mRNA,P50101,NP_014033.1","YMR304W,UBP15",1230,OS=Yeast,1,0.9989,8,28,28,28,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,
P50108|TX=559292,P50108,"P50108|TX=559292 OS=Yeast S288c GN=MNN10 TA=YDR245W_mRNA,NM_001180553.1 PA=YDR245W_mRNA,NP_010531.1,P50108",MNN10,393,OS=Yeast,1,0.999,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,
P50109|TX=559292,P50109,"P50109|TX=559292 OS=Yeast S288c GN=PSP2 TA=NM_001182375.1,YML017W_mRNA PA=NP_013695.2,YML017W_mRNA,P50109",PSP2,593,OS=Yeast,1,0.9975,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,
P50896|TX=559292,P50896,"P50896|TX=559292 OS=Yeast S288c GN=PSP1 TA=YDR505C_mRNA,NM_001180813.2 PA=NP_010793.2,P50896,YDR505C_mRNA",PSP1,841,OS=Yeast,1,0.999,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,
P51601|TX=559292,P51601,"P51601|TX=559292 OS=Yeast S288c GN=FOL2,YGR267C TA=YGR267C_mRNA,NM_001181396.1 PA=P51601,NP_011783.1,YGR267C_mRNA","FOL2,YGR267C",243,OS=Yeast,1,0.9989,12,46,46,46,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,15,0,
P52286|TX=559292,P52286,"P52286|TX=559292 OS=Yeast S288c GN=SKP1 TA=NM_001180636.3,YDR328C_mRNA PA=YDR328C_mRNA,P52286,NP_010615.3",SKP1,194,OS=Yeast,1,0.999,4,15,15,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,6,0,
P52489|TX=559292,P52489,"P52489|TX=559292 OS=Yeast S288c GN=YOR347C,PYK2 TA=YOR347C_mRNA,NM_001183767.3 PA=YOR347C_mRNA,NP_014992.3,P52489","YOR347C,PYK2",506,OS=Yeast,1,0.9985,5,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,
P52593|TX=559292,P52593,"P52593|TX=559292 OS=Yeast S288c GN=NUP188,YML103C TA=YML103C_mRNA,NM_001182465.1 PA=NP_013604.1,YML103C_mRNA,P52593","NUP188,YML103C",1655,OS=Yeast,1,0.999,18,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,23,0,0,0,0,0,
P52870|TX=559292,P52870,"P52870|TX=559292 OS=Yeast S288c GN=SBH1 TA=NM_001180032.3,YER087C-B_mRNA PA=P52870,YER087C-B_mRNA,NP_011011.3",SBH1,82,OS=Yeast,1,0.997,2,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,
P52891|TX=559292,P52891,"P52891|TX=559292 OS=Yeast S288c GN=NUP84,YDL116W TA=NM_001180175.1,YDL116W_mRNA PA=P52891,NP_010167.1,YDL116W_mRNA","NUP84,YDL116W",726,OS=Yeast,1,0.999,5,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,
P52892|TX=559292,P52892,"P52892|TX=559292 OS=Yeast S288c GN=YDR111C,ALT2 TA=YDR111C_mRNA,NM_001180419.1 PA=YDR111C_mRNA,P52892,NP_010396.1","YDR111C,ALT2",507,OS=Yeast,1,0.9987,3,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,0,0,
P52893|TX=559292,P52893,"P52893|TX=559292 OS=Yeast S288c GN=ALT1,YLR089C TA=YLR089C_mRNA,NM_001181976.1 PA=NP_013190.1,YLR089C_mRNA,P52893","ALT1,YLR089C",592,OS=Yeast,1,0.999,6,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,8,0,0,
P52910|TX=559292,P52910,"P52910|TX=559292 OS=Yeast S288c GN=YLR153C,ACS2 TA=NM_001182040.1,YLR153C_mRNA PA=YLR153C_mRNA,P52910,NP_013254.1","YLR153C,ACS2",683,OS=Yeast,1,0.999,15,57,55,57,0,0,0,1,11,0,0,0,0,0,0,5,1,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,20,4,0,0,
P52918|TX=559292,P52918,"P52918|TX=559292 OS=Yeast S288c GN=MSN5 TA=YDR335W_mRNA,NM_001180643.1 PA=NP_010622.1,P52918,YDR335W_mRNA",MSN5,1224,OS=Yeast,1,0.9983,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,
P53011|TX=559292,P53011,"P53011|TX=559292 OS=Yeast S288c GN=SEH1,YGL100W TA=YGL100W_mRNA,NM_001180965.1 PA=NP_011415.1,P53011,YGL100W_mRNA","SEH1,YGL100W",349,OS=Yeast,1,0.9989,6,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,
P53044|TX=559292,P53044,"P53044|TX=559292 OS=Yeast S288c GN=UFD1,YGR048W TA=NM_001181177.1,YGR048W_mRNA PA=NP_011562.1,YGR048W_mRNA,P53044","UFD1,YGR048W",361,OS=Yeast,1,0.999,4,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,
P53067|TX=559292,P53067,"P53067|TX=559292 OS=Yeast S288c GN=KAP114,YGL241W TA=YGL241W_mRNA,NM_001181107.1 PA=NP_011273.1,YGL241W_mRNA,P53067","KAP114,YGL241W",1004,OS=Yeast,1,0.9986,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,
P53091|TX=559292,P53091,"P53091|TX=559292 OS=Yeast S288c GN=MCM6,YGL201C TA=NM_001181066.1,YGL201C_mRNA PA=P53091,NP_011314.2,YGL201C_mRNA","MCM6,YGL201C",1017,OS=Yeast,1,0.999,8,13,13,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,
P53094|TX=559292,P53094,"P53094|TX=559292 OS=Yeast S288c GN=MDS3,YGL197W TA=NM_001181062.2,YGL197W_mRNA PA=NP_011318.2,P53094,YGL197W_mRNA","MDS3,YGL197W",1487,OS=Yeast,1,0.9983,5,14,13,14,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,2,0,0,0,0,0,
P53111|TX=559292,P53111,"P53111|TX=559292 OS=Yeast S288c GN=ARI1,YGL157W TA=YGL157W_mRNA,NM_001181022.3 PA=YGL157W_mRNA,NP_011358.3,P53111","ARI1,YGL157W",347,OS=Yeast,1,0.999,4,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,5,0,
P53120|TX=559292,P53120,"P53120|TX=559292 OS=Yeast S288c GN=YGL140C TA=NM_001181005.1,YGL140C_mRNA PA=NP_011375.1,P53120,YGL140C_mRNA",YGL140C,1219,OS=Yeast,1,0.999,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,
P53121|TX=559292,P53121,"P53121|TX=559292 OS=Yeast S288c GN=FLC3 TA=NM_001181004.3,YGL139W_mRNA PA=YGL139W_mRNA,P53121,NP_011376.3",FLC3,802,OS=Yeast,1,0.9988,3,7,7,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,
P53131|TX=559292,P53131,"P53131|TX=559292 OS=Yeast S288c GN=PRP43 TA=YGL120C_mRNA,NM_001180985.1 PA=NP_011395.1,P53131,YGL120C_mRNA",PRP43,767,OS=Yeast,1,0.9986,3,7,7,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,
P53145|TX=559292,P53145,"P53145|TX=559292 OS=Yeast S288c GN=LSG1 TA=YGL099W_mRNA,NM_001180964.3 PA=YGL099W_mRNA,NP_011416.3,P53145",LSG1,640,OS=Yeast,1,0.999,5,10,10,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,
P53158|TX=559292,P53158,"P53158|TX=559292 OS=Yeast S288c GN=KXD1 TA=YGL079W_mRNA,NM_001180944.1 PA=YGL079W_mRNA,NP_011436.1,P53158",KXD1,218,OS=Yeast,1,0.9952,3,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,
P53159|TX=559292,P53159,"P53159|TX=559292 OS=Yeast S288c GN=MPS2 TA=YGL075C_mRNA,NM_001180940.1 PA=YGL075C_mRNA,NP_011440.1,P53159",MPS2,387,OS=Yeast,1,0.9989,5,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
P53164|TX=559292,P53164,"P53164|TX=559292 OS=Yeast S288c GN=YGL067W,NPY1 TA=YGL067W_mRNA,NM_001180932.3 PA=NP_011448.3,P53164,YGL067W_mRNA","YGL067W,NPY1",384,OS=Yeast,1,0.9989,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,
P53169|TX=559292,P53169,"P53169|TX=559292 OS=Yeast S288c GN=YBP2 TA=YGL060W_mRNA,NM_001180925.1 PA=YGL060W_mRNA,NP_011455.1,P53169",YBP2,641,OS=Yeast,1,0.995,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,
P53172|TX=559292,P53172,"P53172|TX=559292 OS=Yeast S288c GN=SDS23,YGL056C TA=NM_001180921.2,YGL056C_mRNA PA=P53172,YGL056C_mRNA,NP_011459.2","SDS23,YGL056C",527,OS=Yeast,1,0.9988,3,18,18,18,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,
P53183|TX=559292,P53183,"P53183|TX=559292 OS=Yeast S288c GN=YGL039W TA=NM_001180904.1,YGL039W_mRNA PA=P53183,YGL039W_mRNA,NP_011476.1",YGL039W,348,OS=Yeast,1,0.999,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,
P53184|TX=559292,P53184,"P53184|TX=559292 OS=Yeast S288c GN=PNC1,YGL037C TA=NM_001180902.3,YGL037C_mRNA PA=P53184,NP_011478.3,YGL037C_mRNA","PNC1,YGL037C",216,OS=Yeast,1,0.9989,3,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,4,
P53191|TX=559292,P53191,"P53191|TX=559292 OS=Yeast S288c GN=PIB2,YGL023C TA=YGL023C_mRNA,NM_001180888.3 PA=YGL023C_mRNA,P53191,NP_011492.3","PIB2,YGL023C",635,OS=Yeast,1,0.999,8,18,18,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,5,2,0,0,
P53199|TX=559292,P53199,"P53199|TX=559292 OS=Yeast S288c GN=ERG26,YGL001C TA=YGL001C_mRNA,NM_001180866.1 PA=NP_011514.1,YGL001C_mRNA,P53199","ERG26,YGL001C",349,OS=Yeast,1,0.999,9,40,40,40,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,12,0,
P53200|TX=559292,P53200,"P53200|TX=559292 OS=Yeast S288c GN=YGR001C TA=YGR001C_mRNA,NM_001181130.3 PA=YGR001C_mRNA,P53200,NP_011515.4",YGR001C,248,OS=Yeast,1,0.9989,4,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,
P53207|TX=559292,P53207,"P53207|TX=559292 OS=Yeast S288c GN=SNU71,YGR013W TA=NM_001181142.1,YGR013W_mRNA PA=NP_011527.1,P53207,YGR013W_mRNA","SNU71,YGR013W",620,OS=Yeast,1,0.9989,4,6,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,
P53217|TX=559292,P53217,"P53217|TX=559292 OS=Yeast S288c GN=YGR026W TA=NM_001181155.3,YGR026W_mRNA PA=NP_011540.3,P53217,YGR026W_mRNA",YGR026W,278,OS=Yeast,1,0.988,2,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,
P53221|TX=559292,P53221,"P53221|TX=559292 OS=Yeast S288c GN=RPL26B TA=YGR034W_mRNA,NM_001181163.1 PA=YGR034W_mRNA,P53221,NP_011548.2",RPL26B,127,OS=Yeast,1,0.9969,8,50,9,50,0,0,0,2,1,1,1,7,0,0,1,2,1,0,1,5,0,0,0,1,2,1,0,10,0,0,0,0,0,1,2,11,
P53244|TX=559292,P53244,"P53244|TX=559292 OS=Yeast S288c GN=ART5,YGR068C TA=NM_001181197.1,YGR068C_mRNA PA=NP_011582.1,YGR068C_mRNA,P53244","ART5,YGR068C",586,OS=Yeast,1,0.999,5,19,19,19,0,0,0,1,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,8,1,0,0,
P53252|TX=559292,P53252,"P53252|TX=559292 OS=Yeast S288c GN=YGR086C,PIL1 TA=YGR086C_mRNA,NM_001181215.3 PA=YGR086C_mRNA,NP_011600.3,P53252","YGR086C,PIL1",339,OS=Yeast,1,0.999,10,101,101,101,0,0,0,0,0,22,2,0,0,0,0,0,0,7,4,0,0,0,0,0,0,23,0,0,0,0,0,0,0,35,6,2,
P53262|TX=559292,P53262,"P53262|TX=559292 OS=Yeast S288c GN=YGR106C,VOA1 TA=NM_001181235.1,YGR106C_mRNA PA=NP_011620.1,P53262,YGR106C_mRNA","YGR106C,VOA1",265,OS=Yeast,1,0.9985,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,
P53271|TX=559292,P53271,"P53271|TX=559292 OS=Yeast S288c GN=COG2 TA=NM_001181249.1,YGR120C_mRNA PA=YGR120C_mRNA,P53271,NP_011635.2",COG2,262,OS=Yeast,1,0.9982,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,
P53276|TX=559292,P53276,"P53276|TX=559292 OS=Yeast S288c GN=YGR128C,UTP8 TA=NM_001181257.3,YGR128C_mRNA PA=NP_011644.3,YGR128C_mRNA,P53276","YGR128C,UTP8",713,OS=Yeast,1,0.9988,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,
P53278|TX=559292,P53278,"P53278|TX=559292 OS=Yeast S288c GN=YGR130C TA=NM_001181259.1,YGR130C_mRNA PA=NP_011646.1,P53278,YGR130C_mRNA",YGR130C,816,OS=Yeast,1,0.999,13,63,61,63,0,0,4,11,0,0,0,0,0,0,12,1,0,0,0,0,0,0,12,4,0,0,0,0,0,0,11,6,2,0,0,0,
