"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","set","DE","GO"
"BP","GO:0030490","maturation of SSU-rRNA",0.0523525513585156,0.0200761509172724,1.3182712223876e-21,2.05430598822068e-19,1.86061262879092e-19,"YLR192C/YJR002W/YML093W/YPL217C/YPR112C/YOL022C/YER082C/YLR129W/YBR247C/YGR145W/YOR006C/YDR339C/YOR004W/YDR398W/YLL011W/YDR378C/YGR118W/YPR132W/YHR196W/YDL060W/YMR128W/YBL004W/YLR435W/YPR137W/YOR294W/YDL148C/YGL171W/YKL078W/YJL010C/YHR065C/YPL266W/YDR324C/YGR103W/YPL126W/YCL059C/YGR128C/YCR057C/YGL120C/YJL109C/YJL191W/YLR222C/YNR046W/YMR093W/YOR310C/YPL012W/YGR090W/YBR181C/YPL090C/YLR264W/YBR189W/YNL132W/YCR031C/YMR229C/YLR441C/YKL156W/YLR186W/YOR167C/YML063W/YHL015W/YDR450W/YML026C/YDL083C/YMR143W/YBR048W/YDR025W/YLR167W/YDR064W/YER074W/YIL069C/YJL136C/YHR021C/YMR290C/YKR057W/YBL072C/YER102W/YGR214W/YLR048W/YPR144C/YEL026W",79,"raw_B1_WT_vs_B1_ATG","Down","BP_maturation of SSU-rRNA"
"BP","GO:0015931","nucleobase-containing compound transport",0.050364479787939,0.0327102803738318,1.1963286327129e-05,0.000338959779268656,0.000307000441791876,"YBL032W/YGR119C/YER063W/YDL116W/YGL238W/YMR125W/YGL097W/YLR347C/YPR112C/YOR071C/YHR036W/YDL084W/YAL022C/YBR247C/YER107C/YDR381W/YLR208W/YDL198C/YBR130C/YEL004W/YKL057C/YKL068W/YBR118W/YPR080W/YLR335W/YBL051C/YPR128C/YKL205W/YNL064C/YML103C/YAR002W/YBR034C/YOR112W/YPL169C/YBL030C/YNL055C/YLR064W/YDR395W/YOR046C/YOR222W/YMR235C/YDL160C/YER056C/YGR082W/YER165W/YJR077C/YLL023C/YLR293C/YPL226W/YGR128C/YLL024C/YLR018C/YBL042C/YMR308C/YGR090W/YLR264W/YGL225W/YGL123W/YNL178W/YPR021C/YIL040W/YOL121C/YOR167C/YER110C/YGL189C/YDR450W/YML026C/YJR123W/YMR230W/YBR085W/YOR293W/YER131W/YGR214W/YLR048W/YOL040C/YNL302C",76,"raw_B1_WT_vs_B1_ATG","Down","BP_nucleobase-containing compound transport"
"BP","GO:0006399","tRNA metabolic process",0.0483764082173625,0.0320179993077189,3.78816485944791e-05,0.00102664757785038,0.000929848552075011,"YOR251C/YNR015W/YLR091W/YDL047W/YJL087C/YBL026W/YMR259C/YLR405W/YNL251C/YNL119W/YGL232W/YGL245W/YNL232W/YKL110C/YOL021C/YIL008W/YLR384C/YNL062C/YBR061C/YGR158C/YMR312W/YHR070W/YDR378C/YNL292W/YKR056W/YOL093W/YML091C/YPL086C/YKL027W/YGR195W/YLR401C/YDL111C/YAL043C/YOR168W/YDL201W/YGL169W/YOR001W/YGL236C/YOL124C/YGR200C/YPL212C/YDL219W/YDL112W/YPL183C/YKR079C/YDR023W/YJL050W/YDR165W/YOL097C/YOR243C/YPR033C/YGL105W/YNL247W/YHR062C/YAR008W/YGR094W/YBL024W/YDR341C/YLL018C/YIL078W/YNR046W/YHR020W/YBL076C/YPL160W/YPR047W/YDR037W/YDL051W/YFL022C/YGR185C/YLR060W/YHR019C/YNL132W/YGR264C",73,"raw_B1_WT_vs_B1_ATG","Down","BP_tRNA metabolic process"
"BP","GO:0031503","protein-containing complex localization",0.047713717693837,0.0276912426445137,1.31994207023338e-07,4.93658334267285e-06,4.47113008632739e-06,"YER063W/YDL116W/YGL097W/YPR112C/YDL084W/YBR247C/YER107C/YDR381W/YPL239W/YNL189W/YKL057C/YLL034C/YKL068W/YBR118W/YPR080W/YLR335W/YBL051C/YKL205W/YOR294W/YPR016C/YML103C/YBL010C/YAR002W/YBR034C/YOR112W/YPL169C/YDR395W/YOR046C/YMR235C/YLR229C/YIR026C/YJL010C/YGR245C/YGL099W/YER006W/YGR285C/YHR170W/YLR106C/YJR091C/YLR293C/YPL226W/YGR128C/YDR101C/YAL059W/YMR308C/YPL093W/YNL209W/YER036C/YGR090W/YKL009W/YLR264W/YGL123W/YNL178W/YGL135W/YPL220W/YOL121C/YOR167C/YGL189C/YDR450W/YML026C/YJR123W/YMR230W/YDL229W/YIL148W/YKR094C/YOR293W/YDR091C/YER131W/YGR214W/YLR048W/YOL040C/YNL302C",72,"raw_B1_WT_vs_B1_ATG","Down","BP_protein-containing complex localization"
"BP","GO:0016053","organic acid biosynthetic process",0.0470510271703115,0.0334025614399446,0.000584256269742901,0.0101162891149928,0.00916245943485699,"YKL192C/YBR248C/YML081W/YER090W/YML082W/YIL116W/YNR050C/YEL046C/YNL104C/YDL066W/YGR155W/YDR127W/YMR108W/YHR033W/YGL009C/YER052C/YLR146C/YCL009C/YPR118W/YBR159W/YBR041W/YIR034C/YER023W/YLR355C/YOR278W/YLR380W/YOL052C/YLL027W/YBR034C/YNL135C/YGL026C/YJR025C/YBR263W/YHR208W/YDR234W/YPR069C/YMR272C/YKL132C/YJL097W/YNL256W/YPR060C/YER055C/YGL148W/YGR124W/YIL051C/YAL012W/YLR089C/YDL171C/YBR177C/YDL015C/YJL196C/YOR202W/YPL273W/YPR145W/YOR136W/YDR158W/YER086W/YBR249C/YGL202W/YJL200C/YJL130C/YBR084W/YCR053W/YLR058C/YHR025W/YJR016C/YOR108W/YLR372W/YPL061W/YCR034W/YCL064C",71,"raw_B1_WT_vs_B1_ATG","Down","BP_organic acid biosynthetic process"
"BP","GO:0046394","carboxylic acid biosynthetic process",0.0470510271703115,0.0334025614399446,0.000584256269742901,0.0101162891149928,0.00916245943485699,"YKL192C/YBR248C/YML081W/YER090W/YML082W/YIL116W/YNR050C/YEL046C/YNL104C/YDL066W/YGR155W/YDR127W/YMR108W/YHR033W/YGL009C/YER052C/YLR146C/YCL009C/YPR118W/YBR159W/YBR041W/YIR034C/YER023W/YLR355C/YOR278W/YLR380W/YOL052C/YLL027W/YBR034C/YNL135C/YGL026C/YJR025C/YBR263W/YHR208W/YDR234W/YPR069C/YMR272C/YKL132C/YJL097W/YNL256W/YPR060C/YER055C/YGL148W/YGR124W/YIL051C/YAL012W/YLR089C/YDL171C/YBR177C/YDL015C/YJL196C/YOR202W/YPL273W/YPR145W/YOR136W/YDR158W/YER086W/YBR249C/YGL202W/YJL200C/YJL130C/YBR084W/YCR053W/YLR058C/YHR025W/YJR016C/YOR108W/YLR372W/YPL061W/YCR034W/YCL064C",71,"raw_B1_WT_vs_B1_ATG","Down","BP_carboxylic acid biosynthetic process"
"BP","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.0470510271703115,0.0179993077189339,1.27240261452471e-19,1.83030222243169e-17,1.65772939819454e-17,"YLR192C/YJR002W/YML093W/YPL217C/YPR112C/YER082C/YLR129W/YBR247C/YGR145W/YDR339C/YOR004W/YDR398W/YLL011W/YGR118W/YPR132W/YHR196W/YDL060W/YMR128W/YBL004W/YLR435W/YPR137W/YOR294W/YDL148C/YGL171W/YKL078W/YJL010C/YHR065C/YPL266W/YDR324C/YGR103W/YPL126W/YCL059C/YGR128C/YCR057C/YGL120C/YJL109C/YJL191W/YLR222C/YMR093W/YOR310C/YPL012W/YGR090W/YBR181C/YPL090C/YBR189W/YCR031C/YMR229C/YLR441C/YKL156W/YLR186W/YML063W/YHL015W/YDR450W/YML026C/YDL083C/YMR143W/YBR048W/YDR025W/YDR064W/YER074W/YIL069C/YJL136C/YHR021C/YMR290C/YKR057W/YBL072C/YER102W/YGR214W/YLR048W/YPR144C/YEL026W",71,"raw_B1_WT_vs_B1_ATG","Down","BP_maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"CC","GO:0035770","ribonucleoprotein granule",0.046388336646786,0.0237229437229437,2.44082723644257e-10,5.97189063849614e-09,5.15571226785412e-09,"YBL032W/YPL105C/YLR192C/YAL036C/YBL026W/YKL035W/YBR127C/YGR155W/YLR180W/YNR052C/YGL009C/YGL245W/YKL181W/YDL140C/YCR077C/YBR212W/YKL025C/YDR378C/YDR172W/YCR093W/YBL016W/YDR429C/YBR143C/YDR432W/YNL016W/YPL184C/YBR160W/YOR046C/YLR244C/YPR163C/YNL288W/YDL160C/YMR260C/YDL167C/YIR026C/YFL045C/YAL021C/YDR023W/YGR162W/YER165W/YOL123W/YMR146C/YJR007W/YGL105W/YOL139C/YJL138C/YKR059W/YGR234W/YOR204W/YBR079C/YNL209W/YNL255C/YMR309C/YOR361C/YBR025C/YLR249W/YMR012W/YGR185C/YPR129W/YLR287C-A/YOR182C/YER110C/YNL197C/YCL037C/YGR264C/YOR359W/YGR214W/YKL056C/YKL081W/YBR238C",70,"raw_B1_WT_vs_B1_ATG","Down","CC_ribonucleoprotein granule"
"CC","GO:0036464","cytoplasmic ribonucleoprotein granule",0.046388336646786,0.0237229437229437,2.44082723644257e-10,5.97189063849614e-09,5.15571226785412e-09,"YBL032W/YPL105C/YLR192C/YAL036C/YBL026W/YKL035W/YBR127C/YGR155W/YLR180W/YNR052C/YGL009C/YGL245W/YKL181W/YDL140C/YCR077C/YBR212W/YKL025C/YDR378C/YDR172W/YCR093W/YBL016W/YDR429C/YBR143C/YDR432W/YNL016W/YPL184C/YBR160W/YOR046C/YLR244C/YPR163C/YNL288W/YDL160C/YMR260C/YDL167C/YIR026C/YFL045C/YAL021C/YDR023W/YGR162W/YER165W/YOL123W/YMR146C/YJR007W/YGL105W/YOL139C/YJL138C/YKR059W/YGR234W/YOR204W/YBR079C/YNL209W/YNL255C/YMR309C/YOR361C/YBR025C/YLR249W/YMR012W/YGR185C/YPR129W/YLR287C-A/YOR182C/YER110C/YNL197C/YCL037C/YGR264C/YOR359W/YGR214W/YKL056C/YKL081W/YBR238C",70,"raw_B1_WT_vs_B1_ATG","Down","CC_cytoplasmic ribonucleoprotein granule"
"BP","GO:0051168","nuclear export",0.046388336646786,0.023018345448252,4.10284483468502e-11,2.64562753133138e-09,2.39618052232603e-09,"YER063W/YDL116W/YGL238W/YGL097W/YPR112C/YDL084W/YBR247C/YER107C/YDR381W/YPL239W/YKL057C/YLL034C/YKL068W/YBR118W/YPR080W/YLR335W/YBL016W/YBL051C/YKL205W/YOR294W/YPR016C/YML103C/YAR002W/YBR034C/YOR112W/YPL169C/YDR395W/YOR046C/YMR235C/YIR026C/YJL010C/YGR245C/YGL099W/YER006W/YGR285C/YHR170W/YLR106C/YLR293C/YPL226W/YGR128C/YDR101C/YAL059W/YMR308C/YPL093W/YNL209W/YER036C/YGR090W/YKL009W/YLR264W/YGL123W/YNL178W/YGL135W/YPL220W/YOL121C/YOR167C/YGL189C/YDR450W/YML026C/YJR123W/YMR230W/YDL229W/YIL148W/YKR094C/YOR293W/YDR091C/YER131W/YGR214W/YLR048W/YOL040C/YNL302C",70,"raw_B1_WT_vs_B1_ATG","Down","BP_nuclear export"
"BP","GO:0006403","RNA localization",0.0457256461232604,0.0268258913118726,4.00843172720516e-07,1.44149371728339e-05,1.30558029333464e-05,"YBL032W/YGR119C/YER063W/YDL116W/YGL238W/YMR125W/YGL097W/YLR347C/YPR112C/YHR036W/YDL084W/YBR247C/YER107C/YDR381W/YLR208W/YBR130C/YKL057C/YKL068W/YBR118W/YPR080W/YLR335W/YBL051C/YKL205W/YNL064C/YML103C/YAR002W/YBR034C/YOR112W/YPL169C/YOR001W/YGL171W/YLR064W/YDR395W/YOR046C/YMR235C/YOR198C/YDL160C/YGL178W/YLL013C/YGR082W/YJL050W/YDL145C/YER165W/YLL023C/YLR293C/YPL226W/YGR128C/YLL024C/YLR018C/YMR308C/YGR090W/YLR264W/YGL123W/YNL178W/YIL040W/YOL121C/YOR167C/YER110C/YGL189C/YDR450W/YML026C/YJR123W/YMR230W/YOR293W/YER131W/YGR214W/YLR048W/YOL040C/YNL302C",69,"raw_B1_WT_vs_B1_ATG","Down","BP_RNA localization"
"BP","GO:0090501","RNA phosphodiester bond hydrolysis",0.0457256461232604,0.0254413291796469,3.08650885530811e-08,1.44294288985654e-06,1.30689282847125e-06,"YJR002W/YLR312W-A/YML093W/YPL217C/YPR112C/YER082C/YLR129W/YBR247C/YLR059C/YNR052C/YNL232W/YDR339C/YOR004W/YOL021C/YGR158C/YKL025C/YDR228C/YJR093C/YDL060W/YML091C/YBL004W/YGL246C/YPR137W/YDR500C/YOR294W/YGR195W/YDL111C/YAL043C/YDL148C/YOR001W/YGL171W/YDR279W/YLL035W/YKR079C/YDL208W/YJL010C/YAL021C/YJL050W/YHR072W-A/YOL123W/YGL070C/YJR063W/YHR062C/YAR008W/YLR154C/YLR293C/YCL059C/YPR170W-B/YCR057C/YJL109C/YGL078C/YLR222C/YOR310C/YJL208C/YOL077C/YLR185W/YHR052W/YMR229C/YLR186W/YJL177W/YDR450W/YML026C/YKL180W/YJL136C/YHR021C/YKR057W/YGR214W/YLR048W/YPR144C",69,"raw_B1_WT_vs_B1_ATG","Down","BP_RNA phosphodiester bond hydrolysis"
"BP","GO:0071166","ribonucleoprotein complex localization",0.0450629555997349,0.0218068535825545,1.74634235094762e-11,1.30626407850882e-09,1.18310098638936e-09,"YER063W/YDL116W/YGL097W/YPR112C/YDL084W/YBR247C/YER107C/YDR381W/YPL239W/YKL057C/YLL034C/YKL068W/YBR118W/YPR080W/YLR335W/YBL051C/YKL205W/YOR294W/YPR016C/YML103C/YAR002W/YBR034C/YOR112W/YPL169C/YDR395W/YOR046C/YMR235C/YIR026C/YJL010C/YGR245C/YGL099W/YER006W/YGR285C/YHR170W/YLR106C/YLR293C/YPL226W/YGR128C/YDR101C/YAL059W/YMR308C/YPL093W/YNL209W/YER036C/YGR090W/YKL009W/YLR264W/YGL123W/YNL178W/YGL135W/YPL220W/YOL121C/YOR167C/YGL189C/YDR450W/YML026C/YJR123W/YMR230W/YDL229W/YIL148W/YKR094C/YOR293W/YDR091C/YER131W/YGR214W/YLR048W/YOL040C/YNL302C",68,"raw_B1_WT_vs_B1_ATG","Down","BP_ribonucleoprotein complex localization"
"BP","GO:0071426","ribonucleoprotein complex export from nucleus",0.0450629555997349,0.0214607130494981,6.51310003321820e-12,5.07479044254918e-10,4.59630611993337e-10,"YER063W/YDL116W/YGL097W/YPR112C/YDL084W/YBR247C/YER107C/YDR381W/YPL239W/YKL057C/YLL034C/YKL068W/YBR118W/YPR080W/YLR335W/YBL051C/YKL205W/YOR294W/YPR016C/YML103C/YAR002W/YBR034C/YOR112W/YPL169C/YDR395W/YOR046C/YMR235C/YIR026C/YJL010C/YGR245C/YGL099W/YER006W/YGR285C/YHR170W/YLR106C/YLR293C/YPL226W/YGR128C/YDR101C/YAL059W/YMR308C/YPL093W/YNL209W/YER036C/YGR090W/YKL009W/YLR264W/YGL123W/YNL178W/YGL135W/YPL220W/YOL121C/YOR167C/YGL189C/YDR450W/YML026C/YJR123W/YMR230W/YDL229W/YIL148W/YKR094C/YOR293W/YDR091C/YER131W/YGR214W/YLR048W/YOL040C/YNL302C",68,"raw_B1_WT_vs_B1_ATG","Down","BP_ribonucleoprotein complex export from nucleus"
"CC","GO:0030686","90S preribosome",0.0444002650762094,0.0159307359307359,5.00697501335299e-21,2.04173314433394e-19,1.76268944914532e-19,"YJR002W/YPL217C/YPR112C/YER082C/YLR129W/YBR247C/YGR145W/YNL075W/YLL011W/YHR196W/YDL060W/YMR128W/YBL004W/YPR137W/YLR175W/YOR206W/YDL148C/YHR148W/YLR409C/YGL171W/YJL010C/YPL266W/YDR324C/YGR103W/YPL126W/YDR060W/YCL059C/YGR128C/YCR057C/YOR272W/YGL120C/YJL109C/YLR222C/YMR093W/YOR310C/YPL012W/YDL014W/YMR049C/YGR090W/YBR181C/YPL090C/YHR203C/YJR145C/YBR189W/YLR197W/YNL132W/YNL178W/YCR031C/YMR229C/YLR441C/YOR096W/YLR186W/YML063W/YGL189C/YJR123W/YDL083C/YMR143W/YLR340W/YBR048W/YDR025W/YDR064W/YMR290C/YBL072C/YER102W/YER131W/YGR214W/YPR144C",67,"raw_B1_WT_vs_B1_ATG","Down","CC_90S preribosome"
"CC","GO:0015935","small ribosomal subunit",0.0424121935056329,0.0171428571428571,5.62956434828699e-16,1.87822737801939e-14,1.62153001802333e-14,"YDR337W/YGL129C/YJR101W/YGR084C/YCR077C/YGR118W/YPR132W/YGL020C/YHL004W/YGR054W/YJL191W/YNL096C/YBR181C/YPL090C/YLR264W/YLR333C/YHR203C/YJR145C/YGR027C/YBR189W/YGL123W/YNL178W/YCR031C/YLR441C/YKL156W/YLR287C-A/YOR182C/YOR096W/YOL121C/YOR167C/YML063W/YHL015W/YGL189C/YML024W/YDR450W/YML026C/YJR123W/YLR388W/YMR230W/YDL083C/YMR143W/YDL061C/YBR048W/YDR025W/YLR167W/YDR064W/YOR293W/YER074W/YIL069C/YJL136C/YHR021C/YKR057W/YJL190C/YBL072C/YER102W/YER131W/YGR214W/YLR048W/YOL040C/YDR447C/YNL302C/YOR369C/YLR367W/YMR116C",64,"raw_B1_WT_vs_B1_ATG","Down","CC_small ribosomal subunit"
"BP","GO:0050657","nucleic acid transport",0.0417495029821074,0.023018345448252,8.11315544859802e-08,3.22800014656985e-06,2.92364325124171e-06,"YBL032W/YGR119C/YER063W/YDL116W/YGL238W/YMR125W/YGL097W/YLR347C/YPR112C/YHR036W/YDL084W/YBR247C/YER107C/YDR381W/YLR208W/YBR130C/YKL057C/YKL068W/YBR118W/YPR080W/YLR335W/YBL051C/YKL205W/YNL064C/YML103C/YAR002W/YBR034C/YOR112W/YPL169C/YNL055C/YLR064W/YDR395W/YOR046C/YMR235C/YDL160C/YGR082W/YER165W/YLL023C/YLR293C/YPL226W/YGR128C/YLL024C/YLR018C/YMR308C/YGR090W/YLR264W/YGL123W/YNL178W/YIL040W/YOL121C/YOR167C/YER110C/YGL189C/YDR450W/YML026C/YJR123W/YMR230W/YOR293W/YER131W/YGR214W/YLR048W/YOL040C/YNL302C",63,"raw_B1_WT_vs_B1_ATG","Down","BP_nucleic acid transport"
"BP","GO:0050658","RNA transport",0.0410868124585818,0.0226722049151956,1.07012517575002e-07,4.08394709929089e-06,3.69888594582552e-06,"YBL032W/YGR119C/YER063W/YDL116W/YGL238W/YMR125W/YGL097W/YLR347C/YPR112C/YHR036W/YDL084W/YBR247C/YER107C/YDR381W/YLR208W/YBR130C/YKL057C/YKL068W/YBR118W/YPR080W/YLR335W/YBL051C/YKL205W/YNL064C/YML103C/YAR002W/YBR034C/YOR112W/YPL169C/YLR064W/YDR395W/YOR046C/YMR235C/YDL160C/YGR082W/YER165W/YLL023C/YLR293C/YPL226W/YGR128C/YLL024C/YLR018C/YMR308C/YGR090W/YLR264W/YGL123W/YNL178W/YIL040W/YOL121C/YOR167C/YER110C/YGL189C/YDR450W/YML026C/YJR123W/YMR230W/YOR293W/YER131W/YGR214W/YLR048W/YOL040C/YNL302C",62,"raw_B1_WT_vs_B1_ATG","Down","BP_RNA transport"
"BP","GO:0051236","establishment of RNA localization",0.0410868124585818,0.0226722049151956,1.07012517575002e-07,4.08394709929089e-06,3.69888594582552e-06,"YBL032W/YGR119C/YER063W/YDL116W/YGL238W/YMR125W/YGL097W/YLR347C/YPR112C/YHR036W/YDL084W/YBR247C/YER107C/YDR381W/YLR208W/YBR130C/YKL057C/YKL068W/YBR118W/YPR080W/YLR335W/YBL051C/YKL205W/YNL064C/YML103C/YAR002W/YBR034C/YOR112W/YPL169C/YLR064W/YDR395W/YOR046C/YMR235C/YDL160C/YGR082W/YER165W/YLL023C/YLR293C/YPL226W/YGR128C/YLL024C/YLR018C/YMR308C/YGR090W/YLR264W/YGL123W/YNL178W/YIL040W/YOL121C/YOR167C/YER110C/YGL189C/YDR450W/YML026C/YJR123W/YMR230W/YOR293W/YER131W/YGR214W/YLR048W/YOL040C/YNL302C",62,"raw_B1_WT_vs_B1_ATG","Down","BP_establishment of RNA localization"
"BP","GO:0042255","ribosome assembly",0.0410868124585818,0.0134994807892004,4.8135433605985e-23,8.18302371301745e-21,7.41147489684497e-21,"YPR112C/YLR221C/YLR022C/YKR081C/YLL008W/YIR012W/YHR066W/YIL110W/YNL182C/YPR016C/YEL055C/YOL080C/YIR026C/YCR072C/YLR009W/YGL099W/YPR041W/YLR106C/YDR060W/YCR057C/YJL191W/YGR085C/YHR197W/YPL211W/YOL077C/YLR075W/YOR063W/YKL009W/YLR264W/YOL127W/YCR031C/YMR229C/YKL156W/YPR102C/YOL121C/YOR167C/YGL189C/YML024W/YGR159C/YJR123W/YMR230W/YLR340W/YGR148C/YPL131W/YBR048W/YDR025W/YLR167W/YIL148W/YKR094C/YOR293W/YDR418W/YEL054C/YGL031C/YHR021C/YML073C/YER131W/YGR214W/YLR048W/YOL040C/YDR447C/YNL302C/YLR448W",62,"raw_B1_WT_vs_B1_ATG","Down","BP_ribosome assembly"
"CC","GO:0030312","external encapsulating structure",0.0390987408880053,0.0242424242424242,2.25315883072118e-05,0.000306262700323954,0.000264405773117769,"YLR314C/YJL174W/YMR006C/YHR107C/YJL116C/YJR151C/YNL322C/YLR286C/YBR092C/YHR211W/YLR084C/YLR343W/YKL060C/YMR186W/YDR534C/YDR261C/YGR189C/YLR042C/YCR045C/YGL028C/YKL164C/YDR077W/YJR091C/YJL158C/YIL011W/YGR279C/YLR390W-A/YKR042W/YLL024C/YMR305C/YAL068C/YGL261C/YBR067C/YNL327W/YNL066W/YKR102W/YCR089W/YJR150C/YOL030W/YHR143W/YKL096W-A/YIL123W/YPL163C/YBR078W/YMR307W/YJR004C/YAR050W/YNR044W/YDR144C/YOL161C/YKL096W/YMR215W/YHL046C/YOR009W/YER011W/YOR247W/YLR040C/YNL300W/YEL040W",59,"raw_B1_WT_vs_B1_ATG","Down","CC_external encapsulating structure"
"CC","GO:0005618","cell wall",0.0390987408880053,0.0240692640692641,1.73733797628253e-05,0.000245231937421419,0.000211716085368843,"YLR314C/YJL174W/YMR006C/YHR107C/YJL116C/YJR151C/YNL322C/YLR286C/YBR092C/YHR211W/YLR084C/YLR343W/YKL060C/YMR186W/YDR534C/YDR261C/YGR189C/YLR042C/YCR045C/YGL028C/YKL164C/YDR077W/YJR091C/YJL158C/YIL011W/YGR279C/YLR390W-A/YKR042W/YLL024C/YMR305C/YAL068C/YGL261C/YBR067C/YNL327W/YNL066W/YKR102W/YCR089W/YJR150C/YOL030W/YHR143W/YKL096W-A/YIL123W/YPL163C/YBR078W/YMR307W/YJR004C/YAR050W/YNR044W/YDR144C/YOL161C/YKL096W/YMR215W/YHL046C/YOR009W/YER011W/YOR247W/YLR040C/YNL300W/YEL040W",59,"raw_B1_WT_vs_B1_ATG","Down","CC_cell wall"
"CC","GO:0010494","cytoplasmic stress granule",0.0390987408880053,0.0174891774891775,4.83257945729937e-12,1.47796388402406e-10,1.27597054091852e-10,"YLR192C/YAL036C/YKL035W/YBR127C/YGR155W/YLR180W/YGL009C/YGL245W/YKL181W/YDL140C/YCR077C/YBR212W/YDR172W/YBL016W/YDR429C/YBR143C/YDR432W/YNL016W/YPL184C/YBR160W/YOR046C/YLR244C/YPR163C/YDL160C/YMR260C/YDL167C/YIR026C/YFL045C/YDR023W/YGR162W/YER165W/YOL123W/YMR146C/YJR007W/YGL105W/YOL139C/YJL138C/YKR059W/YGR234W/YOR204W/YBR079C/YNL209W/YNL255C/YMR309C/YOR361C/YBR025C/YLR249W/YMR012W/YGR185C/YPR129W/YLR287C-A/YOR182C/YER110C/YNL197C/YCL037C/YGR264C/YGR214W/YKL056C/YKL081W",59,"raw_B1_WT_vs_B1_ATG","Down","CC_cytoplasmic stress granule"
"CC","GO:0022627","cytosolic small ribosomal subunit",0.0390987408880053,0.0112554112554113,2.57266866602672e-28,1.57361566738634e-26,1.35854959381411e-26,"YCR077C/YGR118W/YPR132W/YGL020C/YGR054W/YJL191W/YNL096C/YBR181C/YPL090C/YLR264W/YLR333C/YHR203C/YJR145C/YGR027C/YBR189W/YGL123W/YNL178W/YCR031C/YLR441C/YKL156W/YLR287C-A/YOR182C/YOR096W/YOL121C/YOR167C/YML063W/YHL015W/YGL189C/YML024W/YDR450W/YML026C/YJR123W/YLR388W/YMR230W/YDL083C/YMR143W/YDL061C/YBR048W/YDR025W/YLR167W/YDR064W/YOR293W/YER074W/YIL069C/YJL136C/YHR021C/YKR057W/YJL190C/YBL072C/YER102W/YER131W/YGR214W/YLR048W/YOL040C/YDR447C/YNL302C/YOR369C/YLR367W/YMR116C",59,"raw_B1_WT_vs_B1_ATG","Down","CC_cytosolic small ribosomal subunit"
"CC","GO:0009277","fungal-type cell wall",0.0384360503644798,0.023030303030303,7.57389326877555e-06,0.000115817451235026,9.99886786798877e-05,"YLR314C/YMR006C/YHR107C/YJL116C/YJR151C/YNL322C/YLR286C/YBR092C/YHR211W/YLR084C/YLR343W/YKL060C/YMR186W/YDR534C/YDR261C/YGR189C/YLR042C/YCR045C/YGL028C/YKL164C/YDR077W/YJR091C/YJL158C/YIL011W/YGR279C/YLR390W-A/YKR042W/YLL024C/YMR305C/YAL068C/YGL261C/YBR067C/YNL327W/YNL066W/YKR102W/YCR089W/YJR150C/YOL030W/YHR143W/YKL096W-A/YIL123W/YPL163C/YBR078W/YMR307W/YJR004C/YAR050W/YNR044W/YDR144C/YOL161C/YKL096W/YMR215W/YHL046C/YOR009W/YER011W/YOR247W/YLR040C/YNL300W/YEL040W",58,"raw_B1_WT_vs_B1_ATG","Down","CC_fungal-type cell wall"
"BP","GO:0000460","maturation of 5.8S rRNA",0.0377733598409543,0.0155763239875389,8.47561131807662e-14,8.34178587621225e-12,7.5552679284129e-12,"YJR002W/YML093W/YPR112C/YER082C/YLR129W/YBR247C/YKR081C/YLR059C/YNL232W/YDR339C/YOR004W/YOL021C/YDL031W/YGR158C/YBL004W/YGL246C/YBR142W/YPR137W/YDR500C/YOR294W/YGR195W/YDL111C/YPR016C/YDL148C/YOR001W/YGL171W/YLL035W/YJL010C/YJL050W/YGR103W/YER126C/YLR293C/YCL059C/YCR057C/YOR272W/YGL120C/YJL109C/YGL078C/YNR038W/YLR222C/YOR310C/YKL014C/YMR049C/YOL077C/YLR185W/YHR052W/YMR229C/YLR186W/YJL177W/YDR450W/YML026C/YKL180W/YJL136C/YKR057W/YGR214W/YLR048W/YPR144C",57,"raw_B1_WT_vs_B1_ATG","Down","BP_maturation of 5.8S rRNA"
"BP","GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.0377733598409543,0.0155763239875389,8.47561131807662e-14,8.34178587621225e-12,7.5552679284129e-12,"YJR002W/YML093W/YPR112C/YER082C/YLR129W/YBR247C/YKR081C/YLR059C/YNL232W/YDR339C/YOR004W/YOL021C/YDL031W/YGR158C/YBL004W/YGL246C/YBR142W/YPR137W/YDR500C/YOR294W/YGR195W/YDL111C/YPR016C/YDL148C/YOR001W/YGL171W/YLL035W/YJL010C/YJL050W/YGR103W/YER126C/YLR293C/YCL059C/YCR057C/YOR272W/YGL120C/YJL109C/YGL078C/YNR038W/YLR222C/YOR310C/YKL014C/YMR049C/YOL077C/YLR185W/YHR052W/YMR229C/YLR186W/YJL177W/YDR450W/YML026C/YKL180W/YJL136C/YKR057W/YGR214W/YLR048W/YPR144C",57,"raw_B1_WT_vs_B1_ATG","Down","BP_maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
